nearest_place,monitoring_area,latitude,longitude
Puttalam,Southern Mangrove Area 81,8.061386,79.800016
Puttalam,Southern Mangrove Area 82,8.061167,79.800165
Puttalam,Southern Mangrove Area 83,8.059888,79.809666
Puttalam,Southern Mangrove Area 84,8.059666,79.811372
Puttalam,Southern Mangrove Area 85,8.059446,79.809445
Puttalam,Southern Mangrove Area 86,8.058334,79.809889
Puttalam,Southern Mangrove Area 87,8.057593,79.81174
Puttalam,Southern Mangrove Area 88,8.057059,79.810596
Puttalam,Southern Mangrove Area 89,8.056501,79.812168
Puttalam,Southern Mangrove Area 90,8.056111,79.811666
Puttalam,Southern Mangrove Area 91,8.055888,79.811443
Puttalam,Southern Mangrove Area 92,8.054406,79.806184
Puttalam,Southern Mangrove Area 93,8.054111,79.813111
Puttalam,Southern Mangrove Area 94,8.05389,79.807
Puttalam,Southern Mangrove Area 95,8.05239,79.808611
Rodhapadu,Northern Mangrove Area,8.348777,79.77709
Rodhapadu,Southern Mangrove Area,8.345152,79.776388
Thoduwawa,Northern Mangrove Area 1,7.494628,79.815148
Thoduwawa,Northern Mangrove Area 2,7.49211,79.814556
Thoduwawa,Northern Mangrove Area 3,7.491223,79.813668
Thoduwawa,Northern Mangrove Area 4,7.490554,79.810779
Thoduwawa,Northern Mangrove Area 5,7.490481,79.808852
Thoduwawa,Northern Mangrove Area 6,7.489667,79.809
Thoduwawa,Northern Mangrove Area 7,7.489444,79.805666
Thoduwawa,Northern Mangrove Area 8,7.489444,79.81089
Thoduwawa,Northern Mangrove Area 9,7.487887,79.810667
Thoduwawa,Northern Mangrove Area 10,7.486777,79.807889
Thoduwawa,Northern Mangrove Area 11,7.485704,79.807443
Thoduwawa,Northern Mangrove Area 12,7.485603,79.815661
Thoduwawa,Central Mangrove Area 1,7.484525,79.810705
Thoduwawa,Central Mangrove Area 2,7.484408,79.81574
Thoduwawa,Central Mangrove Area 3,7.484334,79.816556
Thoduwawa,Central Mangrove Area 4,7.483278,79.815514
Thoduwawa,Central Mangrove Area 5,7.482445,79.816888
Thoduwawa,Central Mangrove Area 6,7.482335,79.812428
Thoduwawa,Central Mangrove Area 7,7.482334,79.810888
Thoduwawa,Central Mangrove Area 8,7.482112,79.811666
Thoduwawa,Central Mangrove Area 9,7.481889,79.814172
Thoduwawa,Central Mangrove Area 10,7.480998,79.816112
Thoduwawa,Central Mangrove Area 11,7.480777,79.812389
Thoduwawa,Central Mangrove Area 12,7.480666,79.815889
Thoduwawa,Southern Mangrove Area 1,7.479679,79.816391
Thoduwawa,Southern Mangrove Area 2,7.479568,79.813187
Thoduwawa,Southern Mangrove Area 3,7.478332,79.812335
Thoduwawa,Southern Mangrove Area 4,7.47616,79.814811
Thoduwawa,Southern Mangrove Area 5,7.475444,79.810556
Thoduwawa,Southern Mangrove Area 6,7.475395,79.816185
Thoduwawa,Southern Mangrove Area 7,7.475001,79.814
Thoduwawa,Southern Mangrove Area 8,7.473046,79.8106
Thoduwawa,Southern Mangrove Area 9,7.472223,79.812999
Thoduwawa,Southern Mangrove Area 10,7.471944,79.810917
Thoduwawa,Southern Mangrove Area 11,7.471716,79.811936
Thoduwawa,Southern Mangrove Area 12,7.471667,79.814332
Thoduwawa,Southern Mangrove Area 13,7.470245,79.815562
Udappuwa,Northern Mangrove Area 1,7.740066,79.798456
Udappuwa,Northern Mangrove Area 2,7.736832,79.801806
Udappuwa,Northern Mangrove Area 3,7.735889,79.801446
Udappuwa,Northern Mangrove Area 4,7.735816,79.796408
Udappuwa,Northern Mangrove Area 5,7.735666,79.79589
Udappuwa,Northern Mangrove Area 6,7.735443,79.796777
Udappuwa,Northern Mangrove Area 7,7.735443,79.799332
Udappuwa,Northern Mangrove Area 8,7.735241,79.80276
Udappuwa,Northern Mangrove Area 9,7.734916,79.795955
Udappuwa,Northern Mangrove Area 10,7.734556,79.796777
Udappuwa,Northern Mangrove Area 11,7.73384,79.794111
Udappuwa,Northern Mangrove Area 12,7.733666,79.803221
Udappuwa,Northern Mangrove Area 13,7.733356,79.798733
Udappuwa,Northern Mangrove Area 14,7.733255,79.797507
Udappuwa,Northern Mangrove Area 15,7.733223,79.795332
Udappuwa,Northern Mangrove Area 16,7.732777,79.799221
Udappuwa,Northern Mangrove Area 17,7.732776,79.796557
Udappuwa,Northern Mangrove Area 18,7.732222,79.798779
Udappuwa,Northern Mangrove Area 19,7.731741,79.799295
Udappuwa,Central Mangrove Area 1,7.731555,79.797999
Udappuwa,Central Mangrove Area 2,7.731444,79.799667
Udappuwa,Central Mangrove Area 3,7.731222,79.794519
Udappuwa,Central Mangrove Area 4,7.731,79.799667
Udappuwa,Central Mangrove Area 5,7.730775,79.796111
Udappuwa,Central Mangrove Area 6,7.730556,79.800554
Udappuwa,Central Mangrove Area 7,7.730333,79.800113
Udappuwa,Central Mangrove Area 8,7.729488,79.797269
Udappuwa,Central Mangrove Area 9,7.729186,79.798704
Udappuwa,Central Mangrove Area 10,7.729,79.800113
Udappuwa,Central Mangrove Area 11,7.729,79.800554
Udappuwa,Central Mangrove Area 12,7.727381,79.796191
Udappuwa,Central Mangrove Area 13,7.725946,79.804277
Udappuwa,Central Mangrove Area 14,7.725888,79.803332
Udappuwa,Central Mangrove Area 15,7.725222,79.802888
Udappuwa,Central Mangrove Area 16,7.725149,79.803964
Udappuwa,Central Mangrove Area 17,7.725,79.805223
Udappuwa,Central Mangrove Area 18,7.724777,79.796889
Udappuwa,Southern Mangrove Area 1,7.724554,79.795332
Udappuwa,Southern Mangrove Area 2,7.724554,79.804112
Udappuwa,Southern Mangrove Area 3,7.724497,79.803243
Udappuwa,Southern Mangrove Area 4,7.724113,79.795444
Udappuwa,Southern Mangrove Area 5,7.724113,79.802222
Udappuwa,Southern Mangrove Area 6,7.72337,79.804925
Udappuwa,Southern Mangrove Area 7,7.723364,79.803848
Udappuwa,Southern Mangrove Area 8,7.722826,79.796036
Udappuwa,Southern Mangrove Area 9,7.722557,79.804333
Udappuwa,Southern Mangrove Area 10,7.722233,79.79964
Udappuwa,Southern Mangrove Area 11,7.721888,79.796222
Udappuwa,Southern Mangrove Area 12,7.721,79.79589
Udappuwa,Southern Mangrove Area 13,7.720243,79.796467
Udappuwa,Southern Mangrove Area 14,7.719711,79.7974
Udappuwa,Southern Mangrove Area 15,7.71913,79.802542
Udappuwa,Southern Mangrove Area 16,7.718998,79.799444
Udappuwa,Southern Mangrove Area 17,7.718557,79.797999
Udappuwa,Southern Mangrove Area 18,7.718279,79.797221
Udappuwa,Southern Mangrove Area 19,7.71706,79.799686
Unknown Location,Northern Mangrove Area 1,8.338562,79.802845
Unknown Location,Northern Mangrove Area 2,8.337536,79.80459
Unknown Location,Northern Mangrove Area 3,8.337324,79.803323
Unknown Location,Northern Mangrove Area 4,8.337221,79.841333
Unknown Location,Northern Mangrove Area 5,8.336335,79.804222
Unknown Location,Northern Mangrove Area 6,8.335444,79.844001
Unknown Location,Northern Mangrove Area 7,8.335132,79.804602
Unknown Location,Northern Mangrove Area 8,8.331601,79.805893
Unknown Location,Northern Mangrove Area 9,8.330852,79.770197
Unknown Location,Northern Mangrove Area 10,8.330037,79.770076
Unknown Location,Northern Mangrove Area 11,8.329914,79.771099
Unknown Location,Northern Mangrove Area 12,8.328111,79.84189
Unknown Location,Northern Mangrove Area 13,8.327682,79.808354
Unknown Location,Northern Mangrove Area 14,8.32709,79.843089
Unknown Location,Northern Mangrove Area 15,8.327001,79.844779
Unknown Location,Northern Mangrove Area 16,8.326925,79.844309
Unknown Location,Northern Mangrove Area 17,8.32627,79.766873
Unknown Location,Northern Mangrove Area 18,8.324396,79.856366
Unknown Location,Northern Mangrove Area 19,8.323935,79.855156
Unknown Location,Northern Mangrove Area 20,8.321325,79.808933
Unknown Location,Northern Mangrove Area 21,8.321311,79.854732
Unknown Location,Northern Mangrove Area 22,8.319889,79.848556
Unknown Location,Northern Mangrove Area 23,8.317135,79.84678
Unknown Location,Northern Mangrove Area 24,8.315877,79.842395
Unknown Location,Northern Mangrove Area 25,8.305222,79.796445
Unknown Location,Central Mangrove Area 1,8.30427,79.799828
Unknown Location,Central Mangrove Area 2,8.303263,79.800819
Unknown Location,Central Mangrove Area 3,8.30143,79.796985
Unknown Location,Central Mangrove Area 4,8.301001,79.796556
Unknown Location,Central Mangrove Area 5,8.300844,79.795631
Unknown Location,Central Mangrove Area 6,8.300573,79.797342
Unknown Location,Central Mangrove Area 7,8.295815,79.798772
Unknown Location,Central Mangrove Area 8,8.284217,79.79454
Unknown Location,Central Mangrove Area 9,8.284083,79.792638
Unknown Location,Central Mangrove Area 10,8.282186,79.857964
Unknown Location,Central Mangrove Area 11,8.280383,79.855091
Unknown Location,Central Mangrove Area 12,8.278999,79.853889
Unknown Location,Central Mangrove Area 13,8.278378,79.853933
Unknown Location,Central Mangrove Area 14,8.274679,79.849692
Unknown Location,Central Mangrove Area 15,8.274112,79.853889
Unknown Location,Central Mangrove Area 16,8.27406,79.853518
Unknown Location,Central Mangrove Area 17,8.272267,79.844954
Unknown Location,Central Mangrove Area 18,8.272253,79.849264
Unknown Location,Central Mangrove Area 19,8.27133,79.850445
Unknown Location,Central Mangrove Area 20,8.270999,79.851472
Unknown Location,Central Mangrove Area 21,8.270611,79.843834
Unknown Location,Central Mangrove Area 22,8.270335,79.850333
Unknown Location,Central Mangrove Area 23,8.270112,79.844111
Unknown Location,Central Mangrove Area 24,8.269814,79.850481
Unknown Location,Central Mangrove Area 25,8.269478,79.853563
Unknown Location,Southern Mangrove Area 1,8.268934,79.844808
Unknown Location,Southern Mangrove Area 2,8.268184,79.848259
Unknown Location,Southern Mangrove Area 3,8.267889,79.849332
Unknown Location,Southern Mangrove Area 4,8.267741,79.843371
Unknown Location,Southern Mangrove Area 5,8.267509,79.842715
Unknown Location,Southern Mangrove Area 6,8.266999,79.845667
Unknown Location,Southern Mangrove Area 7,8.266776,79.846333
Unknown Location,Southern Mangrove Area 8,8.266422,79.848004
Unknown Location,Southern Mangrove Area 9,8.26642,79.850444
Unknown Location,Southern Mangrove Area 10,8.266335,79.846666
Unknown Location,Southern Mangrove Area 11,8.175322,79.750195
Unknown Location,Southern Mangrove Area 12,8.170335,79.744153
Unknown Location,Southern Mangrove Area 13,8.169889,79.742889
Unknown Location,Southern Mangrove Area 14,8.169555,79.743776
Unknown Location,Southern Mangrove Area 15,8.169533,79.741977
Unknown Location,Southern Mangrove Area 16,8.169443,79.740998
Unknown Location,Southern Mangrove Area 17,8.169443,79.742777
Unknown Location,Southern Mangrove Area 18,8.169111,79.741221
Unknown Location,Southern Mangrove Area 19,8.168482,79.741742
Unknown Location,Southern Mangrove Area 20,8.168442,79.740118
Unknown Location,Southern Mangrove Area 21,8.167964,79.744094
Unknown Location,Southern Mangrove Area 22,8.167847,79.745874
Unknown Location,Southern Mangrove Area 23,8.167613,79.740778
Unknown Location,Southern Mangrove Area 24,8.165964,79.741518
Unknown Location,Southern Mangrove Area 25,8.165443,79.738778
Unknown Location,Southern Mangrove Area 26,8.164079,79.737418
Vellaimanai,Northern Mangrove Area 1,8.221445,79.734111
Vellaimanai,Northern Mangrove Area 2,8.221222,79.733222
Vellaimanai,Central Mangrove Area 1,8.221037,79.732037
Vellaimanai,Central Mangrove Area 2,8.220704,79.738186
Vellaimanai,Southern Mangrove Area 1,8.220186,79.735519
Vellaimanai,Southern Mangrove Area 2,8.220112,79.736889
Vellal,Northern Mangrove Area,8.468838,79.790365
Vellal,Central Mangrove Area,8.468066,79.789756
Vellal,Southern Mangrove Area,8.466712,79.790322
